Palmeiras,Flamengo,Fluminense,São Paulo,Bahia,Athletico Paranaense,Coritiba,Red Bull Bragantino,Botafogo,Vasco da Gama,Vitória,Atlético-MG,Grêmio,Internacional,Santos,Cruzeiro,Corinthians,Mirassol,Remo,Chapecoense
6540.0,2939.0,324.0,62.0,67.0,21.0,31.0,4.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2558.0,4828.0,1352.0,420.0,406.0,146.0,134.0,46.0,82.0,14.0,1.0,6.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0
638.0,1429.0,3331.0,1362.0,1282.0,551.0,647.0,239.0,349.0,79.0,24.0,37.0,13.0,10.0,5.0,3.0,1.0,0.0,0.0,0.0
175.0,472.0,1978.0,1773.0,1827.0,995.0,1146.0,482.0,664.0,207.0,48.0,111.0,38.0,29.0,23.0,23.0,8.0,1.0,0.0,0.0
60.0,181.0,1132.0,1617.0,1694.0,1268.0,1362.0,785.0,888.0,343.0,150.0,215.0,86.0,65.0,67.0,54.0,28.0,5.0,0.0,0.0
14.0,88.0,740.0,1332.0,1322.0,1396.0,1394.0,970.0,1073.0,586.0,195.0,369.0,151.0,119.0,85.0,112.0,44.0,10.0,0.0,0.0
10.0,37.0,470.0,1054.0,1062.0,1276.0,1264.0,1207.0,1184.0,776.0,324.0,494.0,222.0,212.0,146.0,154.0,90.0,15.0,3.0,0.0
4.0,15.0,292.0,812.0,745.0,1148.0,1112.0,1260.0,1218.0,906.0,450.0,653.0,333.0,358.0,236.0,286.0,127.0,40.0,5.0,0.0
1.0,8.0,168.0,539.0,591.0,940.0,908.0,1167.0,1082.0,1071.0,635.0,861.0,486.0,476.0,354.0,400.0,215.0,86.0,12.0,0.0
0.0,1.0,109.0,391.0,365.0,678.0,675.0,1018.0,949.0,1174.0,773.0,1043.0,644.0,630.0,532.0,535.0,319.0,137.0,26.0,1.0
0.0,1.0,45.0,253.0,274.0,531.0,480.0,807.0,729.0,1097.0,905.0,1122.0,875.0,780.0,629.0,730.0,465.0,225.0,52.0,0.0
0.0,1.0,31.0,170.0,167.0,360.0,326.0,631.0,578.0,982.0,1032.0,1097.0,965.0,973.0,816.0,830.0,632.0,321.0,80.0,8.0
0.0,0.0,14.0,116.0,97.0,269.0,220.0,464.0,403.0,805.0,1102.0,997.0,1053.0,1044.0,981.0,1045.0,843.0,421.0,119.0,7.0
0.0,0.0,5.0,45.0,47.0,193.0,148.0,367.0,288.0,663.0,1059.0,905.0,1117.0,1078.0,1117.0,1096.0,995.0,647.0,221.0,9.0
0.0,0.0,6.0,34.0,28.0,119.0,84.0,250.0,220.0,486.0,1038.0,730.0,1100.0,1146.0,1181.0,1132.0,1213.0,866.0,347.0,20.0
0.0,0.0,2.0,9.0,15.0,57.0,47.0,168.0,150.0,375.0,915.0,572.0,1050.0,1080.0,1253.0,1192.0,1359.0,1129.0,549.0,78.0
0.0,0.0,1.0,4.0,7.0,35.0,17.0,80.0,79.0,262.0,719.0,424.0,863.0,955.0,1161.0,1117.0,1516.0,1636.0,953.0,171.0
0.0,0.0,0.0,5.0,4.0,13.0,4.0,40.0,44.0,118.0,423.0,252.0,648.0,687.0,907.0,837.0,1300.0,2336.0,1903.0,479.0
0.0,0.0,0.0,2.0,0.0,4.0,1.0,15.0,10.0,50.0,187.0,103.0,310.0,310.0,439.0,390.0,745.0,1700.0,4159.0,1575.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,20.0,9.0,44.0,45.0,68.0,61.0,100.0,425.0,1571.0,7652.0
