Palmeiras,Flamengo,Fluminense,Athletico Paranaense,Red Bull Bragantino,Coritiba,São Paulo,Bahia,Cruzeiro,Botafogo,Vitória,Atlético-MG,Internacional,Grêmio,Corinthians,Vasco da Gama,Santos,Mirassol,Remo,Chapecoense
9431.0,415.0,65.0,30.0,31.0,20.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
490.0,5487.0,1602.0,735.0,777.0,601.0,205.0,11.0,26.0,13.0,2.0,14.0,28.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0
57.0,2013.0,2466.0,1497.0,1513.0,1381.0,618.0,44.0,102.0,105.0,28.0,29.0,97.0,32.0,12.0,1.0,5.0,0.0,0.0,0.0
16.0,1025.0,1872.0,1710.0,1747.0,1600.0,947.0,129.0,180.0,210.0,73.0,92.0,255.0,102.0,30.0,5.0,6.0,1.0,0.0,0.0
3.0,518.0,1418.0,1534.0,1755.0,1550.0,1220.0,244.0,332.0,400.0,138.0,180.0,423.0,186.0,68.0,16.0,12.0,2.0,1.0,0.0
3.0,272.0,954.0,1386.0,1388.0,1516.0,1419.0,374.0,482.0,614.0,237.0,291.0,594.0,272.0,121.0,33.0,38.0,1.0,5.0,0.0
0.0,140.0,672.0,1042.0,1004.0,1124.0,1373.0,595.0,657.0,862.0,387.0,428.0,884.0,446.0,220.0,87.0,61.0,12.0,6.0,0.0
0.0,63.0,370.0,719.0,687.0,748.0,1171.0,801.0,880.0,990.0,556.0,611.0,1116.0,628.0,384.0,128.0,119.0,12.0,17.0,0.0
0.0,30.0,239.0,495.0,410.0,526.0,891.0,988.0,954.0,1162.0,683.0,786.0,1093.0,823.0,471.0,204.0,174.0,38.0,33.0,0.0
0.0,22.0,165.0,309.0,268.0,379.0,681.0,1020.0,976.0,1148.0,850.0,927.0,1091.0,904.0,616.0,281.0,248.0,58.0,57.0,0.0
0.0,8.0,89.0,208.0,184.0,220.0,470.0,1091.0,993.0,991.0,971.0,1031.0,981.0,1001.0,784.0,422.0,372.0,110.0,73.0,1.0
0.0,4.0,47.0,146.0,84.0,136.0,336.0,1021.0,930.0,907.0,1087.0,1026.0,926.0,1071.0,938.0,552.0,460.0,190.0,139.0,0.0
0.0,1.0,25.0,86.0,62.0,91.0,266.0,937.0,880.0,770.0,1064.0,1005.0,752.0,1097.0,1094.0,753.0,632.0,264.0,221.0,0.0
0.0,1.0,9.0,58.0,47.0,57.0,165.0,886.0,792.0,618.0,1074.0,988.0,613.0,998.0,1151.0,904.0,864.0,399.0,376.0,0.0
0.0,1.0,6.0,29.0,26.0,30.0,131.0,678.0,706.0,491.0,993.0,904.0,471.0,829.0,1268.0,1177.0,1140.0,591.0,527.0,2.0
0.0,0.0,0.0,14.0,13.0,19.0,58.0,554.0,552.0,378.0,813.0,754.0,328.0,677.0,1100.0,1427.0,1529.0,932.0,844.0,8.0
0.0,0.0,1.0,1.0,3.0,1.0,30.0,363.0,335.0,226.0,567.0,533.0,218.0,516.0,941.0,1682.0,1709.0,1566.0,1288.0,20.0
0.0,0.0,0.0,1.0,1.0,0.0,9.0,202.0,160.0,89.0,340.0,298.0,93.0,276.0,572.0,1416.0,1557.0,2532.0,2362.0,92.0
0.0,0.0,0.0,0.0,0.0,1.0,2.0,61.0,63.0,24.0,136.0,103.0,37.0,131.0,223.0,883.0,1035.0,3058.0,3782.0,461.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,5.0,5.0,29.0,38.0,234.0,269.0,9416.0
